Step.Sum
1020268,59
1020267,87
1020266,92
1020265,96
1020264,90
1020263,71
1020262,52
1020261,76
1020260,91
1020259,92
1020258,84
1020257,58
1020256,59
1020255,56
1020254,66
1020253,74
1020252,86
1020251,66
1020250,55
1020249,82
1020248,68
1020247,103
1020246,75
1020245,75
1020244,74
1020243,73
1020242,67
1020241,80
1020240,62
1020239,56
1020238,96
1020237,69
1020236,83
1020235,76
1020234,75
1020233,63
1020232,59
1020231,62
1020230,74
1020229,60
1020228,72
1020227,68
1020226,64
1020225,71
1020224,78
1020223,59
1020222,70
1020221,71
1020220,92
1020219,75
1020218,59
1020217,98
1020216,63
1020215,95
1020214,57
1020213,68
1020212,58
1020211,75
1020210,74
1020209,75
1020208,62
1020207,76
1020206,57
1020205,53
1020204,71
1020203,45
1020202,64
1020201,79
1020200,50
1020199,74
1020198,96
1020197,87
1020196,106
1020195,73
1020194,94
1020193,72
1020192,86
1020191,101
1020190,98
1020189,66
1020188,80
1020187,77
1020186,67
1020185,42
1020184,61
1020183,83
1020182,64
1020181,67
1020180,52
1020179,82
1020178,59
1020177,89
1020176,58
1020175,74
1020174,94
1020173,117
1020172,101
1020171,56
1020170,76
1020169,70
1020168,66
1020167,93
1020166,68
1020165,56
1020164,54
1020163,43
1020162,63
1020161,69
1020160,83
1020159,66
1020158,38
1020157,70
1020156,47
1020155,76
1020154,60
1020153,83
1020152,53
1020151,75
1020150,64
1020149,78
1020148,66
1020147,107
1020146,88
1020145,77
1020144,73
1020143,45
1020142,75
1020141,81
1020140,99
1020139,88
1020138,49
1020137,52
1020136,25
1020135,85
1020134,59
1020133,87
1020132,64
1020131,74
1020130,72
1020129,104
1020128,83
1020127,109
1020126,85
1020125,88
1020124,65
1020123,86
1020122,72
1020121,100
1020120,77
1020119,38
1020118,63
1020117,86
1020116,79
1020115,48
1020114,91
1020113,78
1020112,58
1020111,80
1020110,53
1020109,79
1020108,94
1020107,100
1020106,71
1020105,106
1020104,82
1020103,52
1020102,56
1020101,70
1020100,49
1020099,72
1020098,91
1020097,75
1020096,70
1020095,35
1020094,49
1020093,74
1020092,77
1020091,90
1020090,87
1020089,97
1020088,52
1020087,60
1020086,115
1020085,106
1020084,84
1020083,93
1020082,108
1020081,77
1020080,48
1020079,72
1020078,45
1020077,63
1020076,64
1020075,68
1020074,55
1020073,61
1020072,64
1020071,61
1020070,82
1020069,84
1020068,55
1020067,73
1020066,72
1020065,106
1020064,71
1020063,57
1020062,51
1020061,83
1020060,52
1020059,94
1020058,76
1020057,59
1020056,56
1020055,48
1020054,88
1020053,53
1020052,87
1020051,81
1020050,67
1020049,57
1020048,108
1020047,76
1020046,107
1020045,86
